Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
7.769,13.4,15.87,9.86,5.96,1.53,3.93
7.6,13.83,15.73,9.96,5.92,2.52,4.1
7.554,14.88,15.82,10.28,6.03,2.71,3.41
7.494,13.8,16.24,10.26,5.91,3.54,1.18
7.488,13.96,15.22,9.99,5.57,3.22,2.98
7.48,14.52,15.26,10.52,5.72,2.63,3.43
7.343,13.87,14.87,10.09,5.74,2.67,3.73
7.307,13.03,15.57,10.26,5.85,3.3,3.8
7.278,13.65,15.05,10.39,5.84,2.85,3.08
7.246,13.76,14.75,10.16,5.32,2.44,2.26
7.228,13.72,15.48,10.36,5.57,3.32,2.9
7.167,10.34,14.41,9.63,5.58,1.44,0.93
7.139,12.76,14.55,10.29,3.71,2.61,0.82
7.09,16.09,14.79,10.12,5.26,1.94,3.16
6.892,14.33,14.57,8.74,4.54,2.8,1.28
6.852,12.69,14.87,9.2,4.57,0.46,0.36
6.825,15.03,13.1,8.25,5.98,2.62,1.82
6.726,13,15.2,9.99,5.64,3.75,1.51
6.595,10.7,13.23,8.61,4.33,0.74,0.73
6.592,13.24,14.72,10.45,4.36,1.11,1.83
6.446,13.68,14.3,9.14,3.51,2.42,0.97
6.444,11.59,13.69,9.2,3.57,1.87,0.56
6.436,8,12.69,7.46,5.35,1.75,0.78
6.375,14.03,13.57,7.95,4.39,0.8,1.32
6.374,16.84,13.13,8.71,5.55,2.2,1.67
6.354,12.86,14.84,10.62,3.62,1.53,0.79
6.321,11.49,14.42,9.1,5.16,1.09,0.54
6.3,10.04,14.39,8.02,3.9,0.99,0.86
6.293,11.24,14.65,8.91,5.23,1.27,1.5
6.262,15.72,14.63,11.41,5.56,2.71,4.53
6.253,7.94,12.42,7.89,4.3,0.93,0.74
6.125,9.85,14.1,8.41,4.7,0.99,0.34
6.118,12.58,15.23,9.53,5.64,1.44,0.57
6.105,6.94,13.25,8.35,4.35,2,1.27
6.1,8.82,12.32,7.58,4.89,2.62,0.06
6.086,10.92,14.32,8.81,4.71,0.66,0.5
6.07,11.62,12.32,8.25,4.62,0.83,0.05
6.046,12.63,12.23,10.42,4.06,1.9,0.41
6.028,9.12,13.12,8.68,4.98,1.26,0.87
6.021,15,13.19,8.08,4.93,1.42,0.97
6.008,10.5,14.09,8.28,5.57,3.59,0.28
5.94,11.87,14.65,8.12,2.64,0.75,0.64
5.895,13.01,12.19,10.36,1.59,1.75,0.56
5.893,12.37,15.28,8.74,4.95,1.03,1.61
5.809,11.73,15.08,7.29,4.1,1.46,0.96
5.779,7.76,12.09,7.06,5.11,1.37,0.64
5.758,12.01,14.1,8.28,1.99,0.81,0.2
5.653,6.77,8.86,5.35,3.13,2.2,0.98
5.648,11.83,14.52,7.26,3.34,0.82,0.31
5.631,8.07,12.93,6.57,5.58,1.17,1.07
5.603,10.04,13.83,8.54,2.82,1.37,0.39
5.432,11.55,12.66,9.14,2.96,1.19,0.22
5.43,14.38,12.77,11.22,4.4,2.58,2.87
5.425,10.15,14.01,7.79,4.97,1.13,1.01
5.386,9.45,12.12,8.45,2.12,2.63,0.06
5.373,11.83,13.6,8.08,1.95,0.83,1.06
5.339,12.21,11.71,8.28,5.08,2.6,0.24
5.265,6.96,11.11,2.45,4.26,2.15,0.41
5.261,5.51,14.38,7.23,5.08,3,0.23
5.247,10.52,15.38,6.57,3.94,2.44,0.28
5.211,10.02,11.6,7.85,0.86,0.73,1.14
5.175,7.41,13.46,8.51,5.43,1.47,0.73
5.082,8.13,13.21,6.04,4.57,3.7,1.67
5.044,5.49,9.1,3.31,3.81,1.87,0.37
5.011,10.92,15.13,8.15,3.11,0.81,0.04
4.996,6.11,8.68,4.86,3.81,2.45,0.4
4.944,5.69,8.08,2.32,3.52,1.54,0.9
4.913,4.46,12.26,6.77,4.39,2.85,0.89
4.906,8.37,12.25,8.15,3.83,1.1,1.3
4.883,3.93,4.37,3.97,3.49,1.75,0.82
4.812,6.73,7.99,5.08,3.72,1.05,0.93
4.799,10.57,11.83,5.71,2.95,0.43,0.55
4.7,5.74,11.22,6.37,6.09,2.32,0.62
4.696,6.57,12.47,6.72,2.25,1.03,0.66
4.681,4.5,11.34,5.71,2.92,1.53,0.72
4.668,0.001,6.98,2.68,5.59,2.43,2.7
4.639,8.79,13.13,4.77,4.01,0.7,0.56
4.628,1.38,7.74,3.66,3.18,1.88,1.02
4.587,3.31,10.56,3.8,2.55,1.77,1.13
4.559,8.5,10.55,8.15,2.83,0.95,0.64
4.548,11,8.42,7.85,3.05,2.7,1.25
4.534,3.8,8.29,3.75,3.32,2.07,0.86
4.519,8.86,6.66,7.52,3.46,0.43,1.64
4.516,3.08,9.39,4.28,3.82,2.69,1.67
4.418,0.94,11.25,3.57,2.69,2.12,0.53
4.39,3.85,11.05,3.08,3.27,1.53,0.52
4.374,2.68,8.41,2.42,3.09,2.52,0.45
4.366,9.49,12.65,8.31,4.7,2.44,0.47
4.36,7.1,11.81,5.55,5.25,5.66,1.72
4.35,3.5,7.66,1.92,1.74,1.98,0.78
4.332,8.2,13.9,7.39,1.78,1.87,0.1
4.286,3.36,10.33,5.32,3.44,2.09,1
4.212,8.11,11.49,0.001,3.13,0.74,1.35
4.189,3.32,10.69,4.43,3.56,2.52,0.6
4.166,9.13,10.39,6.44,2.41,0.76,0.67
4.107,5.78,10.58,4.26,4.31,2.47,0.87
4.085,2.75,5.72,4.1,2.93,1.77,0.85
3.775,0.46,4.47,3.8,2.2,1.76,1.8
3.663,3.66,11.14,4.33,3.61,1.51,0.89
3.597,3.23,6.88,4.49,0.26,4.19,1.1
3.488,10.41,11.45,5.38,4.55,0.25,1
3.462,6.19,3.78,4.4,0.13,3.31,1.41
3.41,1.91,5.6,4.95,4.43,2.18,0.89
3.38,2.87,11.63,4.63,1.43,1.08,0.77
3.334,3.59,7.11,6.14,5.55,2.17,4.11
3.083,0.26,0.001,1.05,2.25,2.35,0.35
2.853,3.06,5.75,2.95,0.1,2.02,0.91
